jobID,URL,extract_date,jobpost_date
4447662219,https://in.linkedin.com/jobs/view/senior-data-engineer-at-quest-global-4447662219,2026-08-03,58 minutes ago
4411613714,https://in.linkedin.com/jobs/view/data-engineer-python-and-kafka-and-hadoop-or-hdfs-or-hive-and-snowflake-and-apache-and-iceberg-at-ntt-data-north-america-4411613714,2026-08-03,1 day ago
4447662167,https://in.linkedin.com/jobs/view/data-engineer-husky-guindy-chennai-at-husky-technologies-4447662167,2026-08-03,1 hour ago
4447673146,https://in.linkedin.com/jobs/view/analytics-engineer-at-infosys-4447673146,2026-08-03,4 hours ago
4439300572,https://in.linkedin.com/jobs/view/data-engineer-at-cisco-4439300572,2026-08-03,2 days ago
4411629131,https://in.linkedin.com/jobs/view/data-engineer-python-and-kafka-and-hadoop-or-hdfs-or-hive-and-snowflake-and-apache-and-iceberg-at-ntt-data-north-america-4411629131,2026-08-03,2 days ago
4447534172,https://in.linkedin.com/jobs/view/data-engineer-i-itc-at-nike-4447534172,2026-08-03,2 days ago
4439098719,https://in.linkedin.com/jobs/view/data-engineer-at-cisco-4439098719,2026-08-03,1 day ago
4439094840,https://in.linkedin.com/jobs/view/data-engineer-at-cisco-4439094840,2026-08-03,2 days ago
4436501286,https://in.linkedin.com/jobs/view/data-engineer-at-hackajob-4436501286,2026-08-03,2 days ago
4447057835,https://in.linkedin.com/jobs/view/data-engineer-i-data-engineer-i-at-amazon-web-services-aws-4447057835,2026-08-03,2 days ago
4445085719,https://in.linkedin.com/jobs/view/senior-data-engineer-at-payu-4445085719,2026-08-03,2 days ago
4447243388,https://in.linkedin.com/jobs/view/senior-data-engineer-at-iq-eq-4447243388,2026-08-03,3 days ago
4447558258,https://in.linkedin.com/jobs/view/data-engineer-ww-returns-recomm-tech-inn-at-amazon-4447558258,2026-08-03,1 day ago
4447280510,https://in.linkedin.com/jobs/view/senior-data-engineer-at-rebel-foods-4447280510,2026-08-03,3 days ago
4447542057,https://in.linkedin.com/jobs/view/associcate-data-engineer-at-amgen-4447542057,2026-08-03,3 days ago
